iter	RMSE
0	0.8939310165
1	0.7896893643
2	0.7154636373
3	0.6630904862
4	0.5891619091
5	0.5305226794
6	0.495210572
7	0.47153191
8	0.4421783918
9	0.4196808407
10	0.396089634
11	0.3804119391
12	0.3696674721
13	0.3537696951
14	0.3433955902
15	0.3296777235
16	0.3166674643
17	0.3118293993
18	0.3082297942
19	0.3013081195
20	0.2965644942
21	0.286971175
22	0.2800130473
23	0.2745169126
24	0.2682170465
25	0.2626050609
26	0.2576388558
27	0.2547776021
28	0.2515526305
29	0.2479785897
30	0.2441378197
31	0.243537271
32	0.2420323549
33	0.2389475649
34	0.2331149577
35	0.2289724101
36	0.2276483395
37	0.2269399442
38	0.2265847264
39	0.2232141462
40	0.2208107861
41	0.2169892168
42	0.2141702067
43	0.2102182794
44	0.2093912709
45	0.206594788
46	0.2061314526
47	0.2042903248
48	0.2039697949
49	0.2004471055
50	0.1987661317
51	0.1984844209
52	0.1948861999
53	0.1946178917
54	0.1943636085
55	0.1917552313
56	0.1902493581
57	0.1873531119
58	0.1852136036
59	0.1849804888
60	0.1819591369
61	0.1793091899
62	0.1771385478
63	0.1755526488
64	0.1736696206
65	0.1722276195
66	0.1707452255
67	0.1683376966
68	0.168145901
69	0.1672466991
70	0.1658243922
71	0.1653847697
72	0.1642264541
73	0.1640463623
74	0.1629364852
75	0.1623073056
76	0.1612040831
77	0.1595197614
78	0.1593811099
79	0.159255607
80	0.1591266891
81	0.15823262
82	0.1574393689
83	0.1560511204
84	0.1545607324
85	0.1539736298
86	0.152384933
87	0.1509924974
88	0.1499330276
89	0.1482662159
90	0.1466733599
91	0.1455164973
92	0.145350826
93	0.1437016713
94	0.1427325097
95	0.1414931217
96	0.1405726752
97	0.1404338149
98	0.1403560979
99	0.1388845135
100	0.1387916679
101	0.136935147
102	0.1356666597
103	0.1355536027
104	0.1354365809
105	0.1338656523
106	0.1332273049
107	0.132095759
108	0.1309640133
109	0.1303124639
110	0.1294808412
