iter	Passed	Remaining
0	0	859
1	0	752
2	1	812
3	1	817
4	2	782
5	2	764
6	3	735
7	3	723
8	3	704
9	4	694
10	4	683
11	4	672
12	5	667
13	5	660
14	6	655
15	6	650
16	6	645
17	7	634
18	7	630
19	7	631
20	8	628
21	8	626
22	8	625
23	9	623
24	9	620
25	9	616
26	10	617
27	10	614
28	11	614
29	11	611
30	11	609
31	12	608
32	12	606
33	12	607
34	13	605
35	13	604
36	13	604
37	14	602
38	14	600
39	14	598
40	15	599
41	15	597
42	16	596
43	16	594
44	16	592
45	17	592
46	17	591
47	17	590
48	18	589
49	18	589
50	18	587
51	19	586
52	19	585
53	19	584
54	20	584
55	20	583
56	20	583
57	21	582
58	21	581
59	22	583
60	22	583
61	22	583
62	23	582
63	23	581
64	23	581
65	24	580
66	24	579
67	25	579
68	25	577
69	25	577
70	26	577
71	26	575
72	26	576
73	27	576
74	27	576
75	27	575
76	28	574
77	28	574
78	28	573
79	29	572
80	29	571
81	30	571
82	30	570
83	30	570
84	31	569
85	31	568
86	31	568
87	32	567
88	32	567
89	32	567
90	33	566
91	33	565
92	33	565
93	34	564
94	34	564
95	35	564
96	35	563
97	35	562
98	36	562
99	36	561
100	36	561
101	37	560
102	37	560
103	37	559
104	38	559
105	38	558
106	38	557
107	39	557
108	39	558
109	40	558
110	40	560
